card_name,card_rare,card_price,shop_name
ヴァレルロード･S･ドラゴン,シク,3280,カーナベル
ヴァレルロード･S･ドラゴン(20thシークレット仕様),シク,18800,カーナベル
ヴァレルロード･S･ドラゴン,ホロ,1240,カーナベル
幻創龍ファンタズメイ,シク,2280,カーナベル
幻創龍ファンタズメイ(20thシークレット仕様),シク,7980,カーナベル
幻創龍ファンタズメイ,アル,800,カーナベル
ヴァレルソード・ドラゴン,シク,5480,カーナベル
ヴァレルソード・ドラゴン(20thシークレット仕様),シク,28800,カーナベル
ヴァレルソード・ドラゴン,アル,2880,カーナベル
E･HEROコスモ･ネオス,シク,680,カーナベル
E･HEROコスモ･ネオス(20thシークレット仕様),シク,5580,カーナベル
E･HEROコスモ･ネオス,アル,170,カーナベル
TGスター･ガーディアン,シク,330,カーナベル
TGスター･ガーディアン(20thシークレット仕様),シク,2780,カーナベル
TGスター･ガーディアン,スー,50,カーナベル
サイバース･クアンタム･ドラゴン,シク,1080,カーナベル
サイバース･クアンタム･ドラゴン(20thシークレット仕様),シク,6480,カーナベル
サイバース･クアンタム･ドラゴン,アル,350,カーナベル
